stim,acq,peak_thr,std_thr,sparsity_from_peak_thr,sparsity_from_std_thr,sparsity_from_peak_and_std_thr
1-5ol @ -3.0,0,1.1,3.0,0.07953950811093669,0.10413396127681843,0.07012035583464155
1-6ol @ -3.0,0,1.1,3.0,0.08738880167451596,0.11015175300889586,0.08006279434850863
1-8ol @ -3.0,0,1.1,3.0,0.06645735217163788,0.08608058608058608,0.059392987964416534
2-but @ -3.0,0,1.1,3.0,0.10727367870225013,0.12140240711669283,0.08765044479330193
2h @ -3.0,0,1.1,3.0,0.10282574568288853,0.12532705389848248,0.09340659340659341
6al @ -3.0,0,1.1,3.0,0.0630559916274202,0.08084772370486656,0.05442176870748299
B-cit @ -3.0,0,1.1,3.0,0.013343799058084773,0.023547880690737835,0.010727367870225013
IaA @ -3.0,0,1.1,3.0,0.1075353218210361,0.11800104657247515,0.0923600209314495
Lin @ -3.0,0,1.1,3.0,0.0803244374672946,0.08581894296180011,0.06671899529042387
aa @ -3.0,0,1.1,3.0,0.12899005756148613,0.13396127681841968,0.10858189429618001
benz @ -3.0,0,1.1,3.0,0.06593406593406594,0.0771847200418629,0.05468341182626897
eb @ -3.0,0,1.1,3.0,0.09262166405023547,0.10230245944531659,0.07849293563579278
ep @ -3.0,0,1.1,3.0,0.12140240711669283,0.13343799058084774,0.10047095761381476
ms @ -3.0,0,1.1,3.0,0.07456828885400314,0.08869701726844584,0.0641025641025641
pa @ -3.0,0,1.1,3.0,0.10308738880167452,0.11983254840397697,0.09209837781266353
t2h @ -3.0,0,1.1,3.0,0.08346415489272632,0.11015175300889586,0.07378335949764521
va @ -3.0,0,1.1,3.0,0.061486132914704346,0.07326007326007326,0.052328623757195186
1-5ol @ -3.0,0,0.95,3.0,0.0817824377457405,0.06972477064220184,0.06343381389252949
1-6ol @ -3.0,0,0.95,3.0,0.08650065530799476,0.07418086500655308,0.06710353866317169
1-8ol @ -3.0,0,0.95,3.0,0.0799475753604194,0.06972477064220184,0.061598951507208385
2-but @ -3.0,0,0.95,3.0,0.11533420707732635,0.09384010484927915,0.08283093053735256
2h @ -3.0,0,0.95,3.0,0.10301441677588466,0.08885976408912188,0.07601572739187418
6al @ -3.0,0,0.95,3.0,0.0581913499344692,0.05583224115334207,0.04534731323722149
B-cit @ -3.0,0,0.95,3.0,0.03014416775884666,0.025950196592398427,0.016251638269986893
IaA @ -3.0,0,0.95,3.0,0.10432503276539974,0.08387942332896461,0.07732634338138926
Lin @ -3.0,0,0.95,3.0,0.08099606815203146,0.0618610747051114,0.05242463958060288
aa @ -3.0,0,0.95,3.0,0.12424639580602884,0.10222804718217562,0.09331585845347314
benz @ -3.0,0,0.95,3.0,0.07234600262123198,0.057667103538663174,0.05163826998689384
eb @ -3.0,0,0.95,3.0,0.12136304062909567,0.10432503276539974,0.09331585845347314
ep @ -3.0,0,0.95,3.0,0.12214941022280472,0.11297509829619921,0.09305373525557012
ms @ -3.0,0,0.95,3.0,0.08597640891218873,0.0710353866317169,0.06317169069462647
pa @ -3.0,0,0.95,3.0,0.10747051114023591,0.08519003931847968,0.07942332896461336
t2h @ -3.0,0,0.95,3.0,0.09724770642201835,0.08519003931847968,0.07522935779816514
va @ -3.0,0,0.95,3.0,0.07339449541284404,0.061598951507208385,0.05294888597640891
1-5ol @ -3.0,0,1.75,3.0,0.06840468787371443,0.15426931356134896,0.06816551064338675
1-6ol @ -3.0,0,1.75,3.0,0.18225304950968668,0.2848600813202583,0.18057880889739297
1-8ol @ -3.0,0,1.75,3.0,0.06840468787371443,0.15666108586462568,0.0676871561827314
2-but @ -3.0,0,1.75,3.0,0.11002152595072949,0.16287969385314519,0.1047596268835207
2h @ -3.0,0,1.75,3.0,0.06362114326716097,0.13441760344415213,0.06290361157617795
6al @ -3.0,0,1.75,3.0,0.09567089213106912,0.17555608706051185,0.09375747428844775
B-cit @ -3.0,0,1.75,3.0,0.05812006696962449,0.13154747668022004,0.056685003587658454
IaA @ -3.0,0,1.75,3.0,0.08897392968189428,0.15690026309495336,0.08825639799091127
Lin @ -3.0,0,1.75,3.0,0.0676871561827314,0.12150203300645779,0.06696962449174838
aa @ -3.0,0,1.75,3.0,0.1284381726859603,0.19062425257115523,0.1250896914613729
benz @ -3.0,0,1.75,3.0,0.11576177947859363,0.1846448218129634,0.11289165271466156
eb @ -3.0,0,1.75,3.0,0.1258072231523559,0.2059315953121263,0.12437215977038986
ep @ -3.0,0,1.75,3.0,0.1250896914613729,0.1961253288686917,0.12389380530973451
ms @ -3.0,0,1.75,3.0,0.03874671131308299,0.08897392968189428,0.03731164793111696
pa @ -3.0,0,1.75,3.0,0.12963405883759865,0.21597703898588855,0.12867734991628796
t2h @ -3.0,0,1.75,3.0,0.07438411863190625,0.15785697201626406,0.07342740971059555
va @ -3.0,0,1.75,3.0,0.06744797895240373,0.11480507055728295,0.06720880172207606
1-5ol @ -3.0,0,1.2,3.0,0.1039939713639789,0.15297663903541825,0.0987189148455162
1-6ol @ -3.0,0,1.2,3.0,0.10361718161266013,0.146948003014318,0.09758854559155991
1-8ol @ -3.0,0,1.2,3.0,0.0693293142426526,0.12283345892991711,0.06593820648078372
2-but @ -3.0,0,1.2,3.0,0.09608138658628486,0.153353428786737,0.08703843255463452
2h @ -3.0,0,1.2,3.0,0.1473247927656368,0.2185380557648832,0.1345139412207988
6al @ -3.0,0,1.2,3.0,0.10776186887716654,0.16352675207234363,0.10060286360211003
B-cit @ -3.0,0,1.2,3.0,0.05086661642803316,0.09080633006782216,0.04559155990957046
IaA @ -3.0,0,1.2,3.0,0.13187641296156744,0.1774679728711379,0.12207987942727958
Lin @ -3.0,0,1.2,3.0,0.010173323285606632,0.031650339110776186,0.009419743782969104
aa @ -3.0,0,1.2,3.0,0.11793519216277318,0.1586284853051997,0.1081386586284853
benz @ -3.0,0,1.2,3.0,0.07950263752825923,0.11567445365486059,0.07045968349660889
eb @ -3.0,0,1.2,3.0,0.1333835719668425,0.19781461944235118,0.12321024868123587
ep @ -3.0,0,1.2,3.0,0.12358703843255464,0.20422004521477016,0.11492087415222306
ms @ -3.0,0,1.2,3.0,0.053504144687264506,0.08892238131122833,0.04672192916352675
pa @ -3.0,0,1.2,3.0,0.1480783722682743,0.1880180859080633,0.13677467972871138
t2h @ -3.0,0,1.2,3.0,0.08816880180859081,0.1510926902788244,0.08176337603617181
va @ -3.0,0,1.2,3.0,0.0640542577241899,0.08816880180859081,0.059909570459683495
