panel,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2,validation2
odor,+pul @ -2,menth @ -3,long @ -2,sab @ -3,-bCar @ -3,-aPine @ -1.5,euc @ -1.75,2-mib @ -4,geos @ -4,guai @ -3,mchav @ -3,PEA @ -4,paa @ -4,bbenz @ -2,B-myr @ -2,ger @ -2,1-3ol @ -3,1p3one @ -5,1o3one @ -4,EtOct @ -2,2-mba @ -3,Z4-7al @ -4
glomerulus,,,,,,,,,,,,,,,,,,,,,,
D,161.66037545161885,71.66222695101199,17.660308972892928,28.482499031916092,5.296961897097358,43.10495344574717,22.189939182026002,36.7168156792409,34.38442248422225,114.08838493552352,104.92553992059186,20.78172026222439,51.68805517275415,12.267169924068883,28.557840152686673,114.28876305854968,16.378705985685585,26.629192314551652,58.07195264751444,85.78383452126586,90.15469649010636,65.1048403712505
DA2,24.189786434035113,11.512146381863797,1.5858773419996193,16.54280472386833,17.268608912923938,-1.3162169508246233,67.96227266176524,20.26330012817452,144.25073158028567,-6.120017527522484,2.7015830926158775,10.537291240202222,-10.132064802804958,10.115000632109801,8.38824224137924,17.08807009422157,4.306238338033055,9.007863129153545,10.115028251460775,1.1735979110744863,1.2057514698629148,-1.1487781971188191
DC1,173.25651441059395,95.65303485612297,117.351112070834,37.39925058236695,94.63405229949797,102.10276015786192,71.68896256606244,-24.752977869412025,3.4885586300929035,35.02774131774622,29.675117222445362,-36.20811942444821,2.3263801946277787,11.288213665811075,32.88276735814133,76.03723529995102,-27.1455392014509,-26.430166332336785,22.970535599424576,42.98761532903085,53.094411094787105,5.853984722458669
DC2,12.62997920263516,2.6949692150636735,17.408487143078744,27.07701986239352,4.486266941251335,5.566245822857345,20.845537165226006,7.015331667951497,36.529672082948316,23.46105086103695,29.426087332979655,8.955570521492927,9.71664828137029,0.2921136032052126,0.031291852447718684,-9.583026258091591,-1.4042436209389018,2.898391133207956,186.00706189190484,-4.225263226844669,28.312594655700174,56.64347140172799
DC3,31.24309106142629,35.77493818334082,17.806146666667058,12.987388496885007,9.042302657619187,25.108742967624043,26.45214138653131,22.075040292072963,-4.646718381831728,67.82671053234567,19.156524646078577,-0.3080632790969755,8.025618458242942,1.07798789128126,6.880812531726458,118.60961098841597,8.331159349118998,22.17014401875134,4.054376983026775,41.309120762062435,13.818831056769392,27.15469802125284
DC4,23.19943528128321,48.00844957269783,60.31274475787513,17.24533383535757,12.154279092699893,20.514192738083633,16.28254997189154,2.4295433371423036,14.701566730624327,13.430251265860228,17.154646339118568,13.350612972998045,15.831795408680554,16.332152446818743,8.75018948340877,31.81964579525368,27.204301277131194,14.976425988136754,18.98523619545976,9.193358757264948,22.726522449165884,22.729941125615852
DL1,55.40326485353505,-15.766579248081507,9.204961324626698,1.970460906531235,-0.19163979829210367,-2.942055453601942,8.25366848373922,18.32560744445892,15.581622711324343,81.0497278183407,20.305704465720403,18.668911321357882,10.959768529187697,11.391615582802494,5.826425406488018,-25.176742134617747,12.72276529658568,18.774696168352076,-7.517035182803994,50.49039275863583,72.86489611634298,0.33204837750369903
DL2d,56.04328322833735,41.78326829612693,64.03202786991844,57.15020891108835,15.633160604383903,51.22705514711041,39.445649055164985,3.0540798016006945,14.45971881424937,42.3610687502843,38.40705071005481,6.481184927022906,50.42492571222375,43.016555387118466,27.806343458896965,41.88359937531997,11.520515206410389,7.278780602752541,26.925516978262305,29.3914494590324,32.14576408031276,36.22972510239966
DL2v,63.732914078926306,55.991747280111916,79.32766918294105,76.42575554025716,29.558519003299573,72.11521641412024,53.80031412810992,3.7868019458348146,15.373295390426595,57.11105604885809,52.34051397905591,4.340891573280603,63.14816256289985,54.97687549797089,40.036247784236316,50.92770318927292,13.839512513107161,5.456953285925597,34.70978973141054,43.420028402362334,41.275126124024766,51.204611514208395
DL4,34.38159382269666,3.6632717286990353,7.586848644209821,12.680898219840923,3.7561784431249396,2.693448285087319,7.829083602524008,9.669593015238176,7.4966687059447805,130.13578959961436,4.79003417226305,4.105647731675031,-1.3857560613064084,3.13722399565739,2.411733509992355,10.210969816178716,5.199596038066456,-3.7631362485374353,1.2358310545322844,3.353130457166739,-0.2209062487034301,7.362290534363579
DL5,-0.1633015700609514,10.683432367420384,24.382336600413023,19.56440408833529,30.742784235665333,45.122370918218635,37.26175016510269,8.193535811907173,17.674657472333923,42.82265581527656,68.78850148500285,17.85146705627862,45.38810258035495,33.82557265741935,29.98065108567177,56.46958707836738,27.439410777764067,10.054264004779423,27.944724259182124,46.03456170172847,-0.669807642780146,109.28387591299035
DM1,17.309693991122074,74.01744701591659,107.65209657971991,53.491997187156336,62.76495056131101,64.37419336583386,45.524071358691046,124.1707804424395,119.02754327875273,83.2982322310955,90.95394805275666,41.489913065368725,167.71581023497748,65.04585280721189,72.5990596381087,60.18778934988539,125.76384208711147,240.49816651269307,94.53254711673551,121.69134100945728,217.73421399957525,206.0950922260785
DM2,-22.074280695134714,-1.653486315049993,17.876257525628404,71.9672275821308,3.3044281499968973,1.8628088718015436,2.375397238009395,15.930433156377324,48.61436299768648,-0.219551085591349,6.458394954156871,27.064215553000814,18.492478751234707,6.727190975911698,8.682894088378282,39.74739318741987,100.64828155701142,25.528715212536447,276.84483144305176,266.44754761204024,280.8291461955731,13.243442036261257
DM3,16.51394177172268,13.27613753341294,12.664226163017302,8.455246361224305,6.583932321594659,7.7982139597342535,3.4363577496330207,4.620897361007224,12.483133095804941,10.103993705921633,6.628205228863322,1.568824074903678,3.2034915461434847,2.9723547449075243,8.712206284409286,15.042052341249615,10.171628628879647,8.270048898755928,145.0647949101424,15.995967276913571,303.75577781280174,10.614398354207264
DM4,5.884833938908928,11.925202368962886,67.19153370928427,35.906156235321575,31.87170260267814,19.04362214123487,29.728319917674423,70.20341762260843,104.46662895780048,22.484293974223355,39.337133734272214,19.10720833504203,50.378811064469055,73.06113390933238,38.9192909210578,22.12613517751267,82.60539880470199,117.55975059916925,64.17355566718314,51.74531266187174,217.25872600307147,65.04185122416155
DM5,-6.102725756839227,-5.437849154048888,16.009134372918933,4.131784475357292,10.406154898365212,8.782887667385648,-2.988843025463213,13.412594658975124,126.38085596767417,29.34099919430769,15.57260736519918,16.94044933446728,13.862912223237185,7.686664813282457,9.581715415788551,80.69408227656106,32.01854842081195,25.556250637033862,50.44882456722518,69.04110847678422,93.62097974290542,46.23984476772968
DM6,21.261529047428784,15.605768572337439,9.742403986176194,6.261380447673678,6.119626569603886,14.419476190776987,8.703833287163643,10.4115977906529,27.987375858162714,19.63851282983787,5.966471884875596,24.95878474042362,70.8723781417737,32.87223274454643,18.006739434451916,164.91627259932963,21.734134711614846,12.033863051879539,135.7527268505734,74.33830277212887,127.75610073500448,24.733082768792233
DP1l,21.20908256134785,17.607135231530453,33.31509806057817,26.588448926359433,7.127343795256256,23.125002599138224,21.26823362680659,1.6957994219640646,7.266843525058471,11.622060950990413,19.682855714118446,1.0519740116661749,34.274120055124946,22.638346916903092,13.346958246518284,22.759435867861388,8.27238694751853,-0.7565674695327961,8.115475931210915,16.1576275493955,16.45021054646461,17.17477864702513
DP1m,77.92473685076399,64.97006802828676,191.9016835152804,107.4081349447442,32.82140320207912,76.18934478005313,108.38520205068035,11.878403273784894,178.4103632444917,31.200880173232644,79.82043324970154,11.584418157666196,58.70813103996242,84.2382984044245,59.670531104383315,169.80396305607093,109.58488308977806,13.541647821565928,56.74042545777517,66.43632801282037,113.90385512146369,105.42955588152469
VA2,-24.924156319726613,0.9842337946467433,27.520431977390764,20.786228330181793,11.10636551078293,20.912967108895366,36.80181518523707,5.454938870047556,34.85320159601563,26.699168997313155,32.59074589965049,8.103467882894938,26.908029698049944,13.328056169511058,16.25788788071227,76.27673154175115,16.450110274017895,32.73054752740417,36.96563562135219,21.68902738019436,75.17209526530752,18.59103784879145
VA3,74.24848781887967,0.3617785210925792,4.959736836599496,14.14266274873384,7.281531520988578,-1.1042097116518188,2.272318197370878,7.861042641732295,7.72207169840311,3.9776001829819045,26.08655108876426,26.332304998443778,68.37493333013511,9.428524252685753,7.775157334162063,-13.196500461131256,18.4717884019155,6.973354710785907,8.358989803902322,1.6077378879642894,7.411469803193247,24.64453839833758
VA5,13.800547760143502,1.342881735193164,10.453227128808795,0.18223310086824468,3.216316436614367,0.35284439138823787,6.514001968877755,7.968240026568651,9.941530173604573,111.05662186400939,12.087472780838908,16.31702832319026,48.01222510598874,9.404508945968503,8.648658608815046,11.422587278846288,10.564492220528438,7.921414734961401,8.598116851660388,3.135840518904336,5.431049808882818,3.916240636830736
VA6,39.76649528405695,23.367222533467896,54.69634274200681,7.5730444600554705,18.761040683555287,17.165498350048413,17.415332966512437,41.635606095725215,42.491892932401875,5.676192039873823,15.43896499856121,49.26343599047194,25.984022809462022,26.254514019548434,24.789525666509988,114.93203096006016,39.29523531164021,32.04040487107618,37.826297519524715,21.48684828697035,8.91364228468618,30.02420922750113
VA7l,116.61736653046103,17.136522988826925,10.001153701459451,6.894038373319737,8.787155954909887,-10.125215440932275,-5.782390579601189,7.058711037770143,14.307192689954064,56.49598350542813,27.578312990337906,25.18718886120609,16.81799039405206,18.322743626673663,13.30035270206508,-5.835565621261202,22.856696338225223,22.796115521062646,1.0976036819362638,0.26166948300775517,2.832278363834499,27.2564245577867
VA7m,-32.9898415192424,-17.05424079776065,7.357535003099445,6.556203026004226,28.19576068106398,-19.82675257200703,-6.1488732479603625,-26.280684214643497,-3.752928831039297,170.48046031324608,22.899518888660193,32.343127815743024,13.710343346745494,96.92325943414698,27.42498577371598,-34.006675957436904,31.527395792549036,-2.987139073004303,14.635098612382333,7.751652631412513,24.96415161243036,4.70242130097604
VC1,132.43186308412277,51.431923160896,33.606495847736724,22.333925701390438,14.51860263915501,182.78604011261098,85.06008154632823,57.40564662556378,20.627582427355616,177.0306081446423,29.003465736112013,10.933327295697172,11.549434123688572,8.707449472420622,-4.0464015719667925,38.40492344251506,10.729018772352326,13.179665755597734,17.365268084030667,-2.991659056122402,109.50481225039997,8.796020081497572
VC2,24.86492987584869,8.368752717635282,19.68038111509276,6.899279433743766,21.333283659036127,73.46086729312623,5.71934617950274,9.985039203682073,21.795565734486942,251.18409102842617,29.715997683926304,22.127062140541323,9.300213083756839,10.021988855696014,5.35059927031363,18.297900151631406,28.123150765382018,20.32360050220944,42.19170433676142,4.572503526035478,16.74319883492343,13.939246864671826
VC3,11.368027279923036,23.132105711145762,6.7671288342314,32.31867047422024,21.528340014993695,30.4810146475661,27.755243304178077,9.54605689284665,33.87141316887686,13.957172363049983,55.956703761385505,33.491649823613116,12.682869644429022,11.017322291968819,14.950777980840076,-3.8732980477800156,26.35047625314086,12.602744662434166,40.73457045586459,54.05102753280494,36.95137071751445,46.67812809294057
VC4,26.738035097620912,4.188782137645104,15.098905123183252,8.481778100152619,6.229840288391121,36.901450989413874,19.04285328366473,5.95612639356249,15.1304954510394,12.206903891528656,15.00308797297151,21.275991082116217,9.83280322512845,6.373651160290207,5.054832066753965,8.944709743605717,13.996501180987469,2.5239565093838743,30.873656128484868,9.607461090328973,24.900877045557543,10.352943908844349
VL2a,16.64348807456007,11.299704984245263,17.079873989265725,9.550930058677176,7.293397857543678,10.056459178142157,5.605290706067192,14.590023473180898,9.106628979688548,12.02010700189977,13.93915107591194,7.667981541826245,133.39234477404003,15.165079528615308,14.865347203772668,12.110738647645713,12.375971643019746,10.473668244166694,3.7325029966427588,7.488173638046163,2.242748399511172,14.906249402789717
VL2p,21.40610136413821,22.401022754783728,32.967971594456706,24.225014817940043,11.965564648110137,21.396120383645712,9.703327736070396,32.42825334127169,17.596435019646627,22.627037040515752,17.66657444630298,24.653485880596893,33.80353243368645,28.080483438728635,28.785180398274548,35.24263200073433,24.50494802345087,33.04717254917513,15.322690968039748,17.20292101725423,18.064936174912113,21.95575851085974
VM2,110.68779725324914,57.550094929363794,45.297090179912466,17.847536385926624,8.08441588346111,30.5533281527766,4.241484220574686,13.558385470060596,94.0742601145699,181.97769958213055,83.63231163382025,15.871245634923735,12.722885480909376,34.18688616908027,14.077003629868699,146.49039428288327,62.72618532247948,22.86685616434685,60.27958470130087,2.5553683225727797,205.51927802266044,92.30288173430662
VM3,16.803407722269416,16.22810845213837,39.32139024309747,16.87835392037824,11.146532022565813,50.154367446934025,10.096817650773591,13.142700338525167,40.36751500360484,45.87169687370981,22.487235727473887,16.33837174013016,7.537023617804367,36.85101837900808,12.773463227197002,43.64327971449057,22.9518384188908,21.271169694360445,17.439753974142743,13.83334396356551,66.31009828096808,8.712351540779292
VM4,12.800202778271782,1.4482342244514455,10.174784860704682,2.7072196689423222,5.563440929216608,14.242401742000068,11.292762820154083,9.580352636534508,10.916925612009805,13.453325468439044,7.27820459266262,65.24372860691972,-1.8383589705424492,6.286258475590429,3.3172954675457738,14.132340485225487,20.296951318146796,14.767206936586277,14.866704296404773,10.877072621761263,19.694498983237303,8.231424944457968
VM5d,24.882965078451893,30.2223657203486,49.35668351016467,22.189261728129097,18.694314846034676,44.318421413740616,23.63313733893838,6.003603221039781,61.470537245707,17.081301135761873,25.231851146801052,42.932413530923206,32.836075558888744,21.01828380171171,27.654126266105617,28.074184545315298,24.569083380965544,-9.774542393299374,121.54267753732088,103.14288130242569,65.83897842098487,34.10451025425705
VM5v,93.39268003585012,48.31078739066615,63.79129606770742,130.5767837840191,33.44653224472944,37.88856585930337,47.276828532445904,34.25681562161064,12.992291751301513,43.29397598495887,133.74375392416468,52.36872824520901,12.240213983231602,19.336234739272072,62.99167689702176,163.5044401776817,47.99497387872879,41.74189743576677,78.75046534721852,-0.5619266859699735,117.87705379154197,10.58004587226268
VM7d,-8.972007023775943,38.44239646613743,41.88313848469584,48.872813907499506,26.73850496089515,96.52034660014283,20.152697026117195,94.52625067992997,56.249412069977815,49.295243040575045,44.217935261809586,24.011187657731845,62.61006402269311,34.48292485901617,38.43280900238756,81.40713713818552,232.1932263923858,197.4159126295861,152.87018186687777,49.36759842891934,102.74215738243029,97.25925025633192
VM7v,-6.874155842761406,-9.164750917648636,10.762783857698633,10.794293107125098,2.9338709201914113,-6.293236523967991,-0.19882832397438932,4.071333980744269,17.649424411334312,-0.6136623165620211,7.281009021988618,12.479255220837153,9.978728708862684,1.1718779294612431,7.51326636208249,-28.184576242616295,2.6349140582625195,0.9696310241414438,41.080954416355624,-5.606458851291,109.31043734485452,9.591597450540505
