odor1,D,DA1_t0,DA2,DA4l_t1,DA4m_t1,DC1,DC2_t1,DC3,DC4,DL1,DL2d,DL2v,DL5,DM1,DM2,DM3,DM4,DM5,DM6,DP1l_t1,DP1m,VA1d/VA1v_t0,VA2,VA3,VA5,VA6,VA7l,VA7m,VC1,VC2,VC3,VC4,VC5_t1,VL1_t0,VL2a,VL2p,VM2,VM3,VM5d,VM5v,VM7d,VM7v_t1,V_t1
IaA @ -5,0.06769754971754131,-0.0009756358878373816,0.052478490616628216,-0.01125744422244583,-0.007148133315722252,0.06203365561841323,0.10507417712122391,0.03596831726541455,0.013443323707435431,0.10239928519621899,0.1650715679682245,0.14027554076836804,0.10847315820962235,0.17716618417768196,0.35214918221875974,-0.004878374193685125,0.1659563770155785,0.11756897832635284,0.08389971774356492,0.13935306395524935,0.10576399767925833,0.019948209511785626,0.1731909920254203,0.07591205269980768,0.07049542955490339,0.07513319518765327,0.26677076069058386,0.34667825309191347,0.15632272334314506,0.14729258354678446,0.18115641466424423,0.16860007068152696,0.7870147573231688,0.01967208671926662,0.09984492460684347,0.06322906039957805,0.34541583380528657,0.17965437456045366,0.303963763703923,0.3865762325324158,0.3896515597910355,0.14437448935138075,0.1726977110763245
IaA @ -4,0.07804107574657942,0.023431341996898655,0.014314728461818799,0.08384105133819027,0.03348628728106387,-0.011819858336364605,0.07983093987090428,0.018835842520825454,0.08839503050766885,0.15292700381351929,0.1243672191335871,0.15123713781648654,0.07869313546180977,0.2628409181039489,0.5942031860981655,0.20035690139839982,0.23397107236295936,0.35700736274642525,0.24968826225417204,0.07339132558533287,0.1467300223997723,-0.0017233292166976579,0.2209255927841227,0.10889125902221286,0.062019732777115345,0.06696771411128842,0.24128619255322417,0.24189252284912122,0.14948213065695756,0.12534945653685928,0.13821721711558432,0.2745994267701433,0.8159965053080942,0.0031958403846309475,0.08583091632243729,0.042725972080980106,0.7335420592530476,0.3123099535637504,0.5942284074578185,0.6725705981508171,0.32414799104551156,0.1182064554334374,0.14450253089060316
IaA @ -3,0.21205075546362828,0.026158700524631952,0.05211821370552403,0.10418762944611888,0.03588727072793369,0.10449669676254636,0.3958395076420264,0.09372055812235468,0.2469975081049637,0.4613154735802791,0.16953066255480662,0.25924300286629376,0.10138071001831685,0.41307305949843715,0.7932325847363915,0.7940839300143357,0.4999935561822566,0.6959125801812851,0.5776362945160219,0.05384771460944802,0.22244050611623897,-0.005885665831593157,0.24160016818710786,0.07492813398306347,0.168817340107397,0.12435572229745391,0.3010335557263654,0.32928778074257964,0.670909358919176,0.40851367893783525,0.3944722459917111,0.6257209509124463,0.5393191604724415,-0.004199505998610987,0.0783444634921087,0.12641786420022327,1.1370528133795295,0.72114758308607,1.1146068673074083,1.1019492954190067,0.7656465626854793,0.6011976703036299,0.39813241416196393
IaA @ -2,0.5649911218569208,0.07427713471446078,0.1219604535017244,0.4885286262928606,0.55861809545372,0.5742079064082654,1.0328030770091388,0.42344332255335165,0.5487895371579502,0.9675779986173647,0.4482652905581363,0.5134638634667429,0.14890266043505065,0.8981048915050357,1.3766472494201558,1.5034757245463684,0.8309325100439242,1.1932000531517204,1.4295450343774387,0.2391294288766276,0.5268508101882201,0.0007518920059243047,0.06007758951287336,0.06277780031605945,0.1737841236099177,0.39333757069764547,0.17128252925451526,0.025027371005833965,1.1829275931368723,0.7068824932379086,0.8536423168789292,0.7494118704263619,0.4996682570367031,0.012431556778353168,0.17368312402749878,0.11145763502896189,1.0323925931513596,0.9961944359194117,1.3086456758924365,1.09332766184215,1.3857448489640483,1.5015146962259884,0.4794156352823296
IaA @ -1,0.2780607562651416,0.05043246904732133,0.20983682485978525,0.35390388844744197,0.6641424551876828,0.49137282887030737,0.9985304304010327,0.3905045136579986,0.41692379328206813,0.7235360013041533,0.4738496319017084,0.4825555034316274,0.014835553663549945,0.8977516795968885,1.0084560919252539,1.1981984521289808,0.7645056062237318,1.08060650223247,0.9882741278874875,0.4509636772571661,0.8804581501718189,0.06582371332578837,0.09259192831857703,0.06008555464541645,0.31417015783379,0.7846941296269844,0.022391445528300944,-0.12550163161544678,2.197755622134672,1.4293829649713798,1.4193192482727592,1.3989646036548615,0.8118630168380911,0.043420962439496925,0.1422056364416633,0.12899174476007116,1.122784407212529,1.7524163466185572,1.2937071626326702,0.7584806727972294,1.7240468142992054,1.4648388705522468,1.1578069162741231
ban @ -4,-0.009969062885038309,-0.009364529061040862,0.0286239731168248,-0.014043707591943386,0.016495513796101747,0.06013749516542364,0.061641091315730916,0.06099821948505579,0.14621450231966684,0.05300233727436776,0.058740540644927175,0.06425796361837403,0.23710108528332763,0.31659706560646156,0.03031925325989174,-0.003696777653641445,0.19932039651553754,0.07065628573991246,0.020051486842047148,0.04632000489235067,0.0865933857785461,0.01752044502728886,0.14828053167798624,0.08800877204858783,0.059503336037106884,0.032882138840997055,0.07156756890892109,0.14308046492061058,0.11822392803212402,0.07233382018418451,0.08954897706267244,0.11334442883860507,0.5936181533561283,0.0030564914684384353,0.05596221014526273,0.14781122652504003,0.1076251718025189,0.10899728824260463,0.1032328351000706,0.061350765162397104,0.165553557576522,0.043052313279126335,0.05483247592934936
ban @ -3,-0.01016599869448658,-0.004784328857452038,0.011221152703719893,0.0027868778817833084,0.008504374297133592,0.00574725823006073,-0.013644179854460857,-0.017886394067789593,0.21581994930652018,0.010381010178253734,0.003934797229514824,0.013830543125753561,0.29475749936611134,0.5169185708709052,0.01583459693292855,0.07135721784087955,0.26696215885823077,0.051938400249359466,0.007685604190741942,-0.009672462173763717,0.30252294004988267,-0.027563772484309152,0.1859543822049765,0.0606666107857278,0.02064127823012964,-0.01557578003710198,0.03340327911084702,0.03370667307097538,0.010452945859185084,0.0329717987196498,0.11668262857137268,0.1312927477530075,0.46649997074687605,-0.022047496575452626,-0.0056411620058374615,0.04952574590724076,0.1140695333051061,0.20957114513824318,0.11173281485680679,0.027222065175441467,0.1724914663598086,0.04855670783650077,0.01110149488372038
ban @ -2,0.016540360200354595,0.012909342865680995,0.033101492268163196,-0.014365785457566935,-0.013803157194294396,-0.0033034452948242344,0.0752593446374688,-0.010811104790251427,0.27854714172000034,0.02829860151680375,0.02004242623461222,0.04560245355612819,0.4328717707775471,0.7495657551804088,0.13501136716781983,0.10069911385455005,0.5009447861481353,0.39409694410632606,0.02595761202861646,-0.006385005978560201,0.6135294324681351,-0.0233762877322309,0.3013233684555403,0.1386749043154994,0.06509524408272771,-0.009449898872651309,0.1027926933710177,0.11148510758705184,0.08982920234402393,0.1274624319317899,0.32953999275754436,0.4231547898874369,0.32399150976306695,-0.005625718586568174,0.019244069569473766,-0.0008560050691280907,0.36297546386439933,0.4360454019142869,0.591579624371887,0.026769525164891613,0.358199295178475,0.10895042277516805,0.1472550669582958
ban @ -1,0.07980645847726343,-0.007159613811038078,0.1488970143817003,0.08967166478675843,0.02027144057564621,0.04345878895455937,0.27867069309856557,0.007246556294308172,0.6717315736388203,0.06106855201776743,-0.03542008513400228,-0.0294643620420152,0.9863277633427101,1.4187774572937333,0.7963191473912671,0.38074101046567255,1.0279461152636478,0.9795893888344264,0.633862516081889,-0.09250824576568395,1.531914572584883,-0.049079660404211446,0.4259768729383493,0.22343987709100624,0.10045843336628868,-0.06911060767359616,0.12853569715630034,0.17604118829210016,0.10708546038609651,0.4931307806102742,0.7673220124290648,0.897050810893066,0.33302766612690343,-0.03174517633865357,0.003364213606061706,0.04113271245773562,0.9763649649598523,0.6747856704887023,1.2178025341195378,0.3440703442741196,0.7944607522662013,0.31285821598804026,0.28408637001317144
ban @ -0,0.30295907936608785,0.02292895491226099,0.18755054394466428,0.18166968600622613,0.04112366828637505,0.29183833738868975,0.8226036636987795,0.09351211415439453,1.0074720005753883,0.21947972852869557,0.23742077330869815,0.345279364524618,0.8525907709316548,1.306414539040624,1.1944478779055434,0.7280456979128775,1.3432536426132795,1.4421955857304953,0.9996491913986745,-0.06645587844945793,1.6678668790543025,-0.04700210098866192,0.8690857057331857,0.5503317587600045,0.49381262687003197,0.07735041111576037,0.3158791696841447,0.3670001148563589,0.5142277858688867,1.3295259523123484,1.3427164392479494,1.5556649089965573,0.7120151343804793,0.0027023789813133453,0.11630656764102976,0.14696713653047497,1.5451655292302908,1.4353672676577827,1.6718838346777387,0.9551448402052891,1.4798179944712733,0.7326085216576179,0.8142177996112805
